# 【geoguessr】日本マップNMで使える知識を300個以上紹介します！

[00:00:30] かわいいチャージャーとか食べたことないから
[00:06:23] ノームーブだとそんなに使えないですが。
[00:06:26] そして帯広が4、3ですね。
[00:06:32] で、ねむろが4、5ということで、
[00:06:37] 横はこっちから9、0、1、2、3、4、5かなと思います。
[00:06:47] その配置をだいたい覚えておくだけでエリアを絞ることができます。
[00:06:54] 札幌、朝日川、帯広あたりの番号は覚えておいたほうがいいかと思います。
[00:07:00] というのが北海道の電柱の特徴です。
[00:07:05] ということで続いては東北いきます。
[00:07:09] 東北はまずは
[00:07:17] プレートを何と覚えたらいいかなと思います。
[00:07:19] 東北の電柱はまず特徴的なのがこれですね。
[00:07:23] 灰色の横長プレート。
[00:07:28] まず横長プレートが使われているのが東北か北陸しかないので、
[00:07:32] これ見ただけで遠くからだとちょっと分かりにくいけどどっちかなって感じになりますね。
[00:07:37] で、あともう一つが灰色と白の反射板ですね。
[00:07:43] 灰色と白じゃなくて灰色と黄色のやつもあります。
[00:07:48] けどこういう灰色、とにかくこの灰色があったら東北電力確定と言っていいんじゃないかなと思います。
[00:07:56] 東北電力の範囲としては東北6県プラス新潟県全域なので注意が必要です。
[00:08:04] で、ただ新潟県ではこの横長プレートともう一枚
[00:08:11] 全国で見られるんですけどNTTのプレートがありますが
[00:08:16] 新潟県のNTTプレートに関してはこの横長プレートと
[00:08:21] ただ普通の横長じゃないプレートも存在するんですけど
[00:08:27] これも横長ですが、新潟県は横長2枚のことがよくあります。
[00:08:35] 縦長の時もありますけど。
[00:08:38] それで東北の中でも新潟県のみに絞ることができます。
[00:08:43] で、東北の変圧器いきます。変圧器はこのやつですね。このボトルですね。
[00:08:51] この変圧器の出し方が地方によってだいぶ違っています。
[00:08:56] 東北はこういう四角い枠があって、その上の部分から
[00:09:02] こういう四角い枠があって、その上の部分から
[00:09:08] 東北はこういう四角い枠があって、その上の部分からこういう棒が出てるって感じです。
[00:09:15] この上から出てるというのが大事で、
[00:09:18] 後から出てくる関西電力は下から出てます。
[00:09:23] なのでこういう同じ枠使っているんですけど東北は上から
[00:09:28] っていうのを覚えておくと見分けることができます。
[00:09:38] で、最後に東北の視線ガード。
[00:09:43] 東北、こういう視線ガードも地域によって違うんですけれども、東北は
[00:09:48] こういうめちゃくちゃ細いタイプで、こういう黄色黒の
[00:09:55] シマシマのやつですね。
[00:09:58] こういう細いやつめちゃくちゃ
[00:10:00] めっちゃ細いやつを使っているのは東北がほとんどかと思いますので
[00:10:04] この辺りで見分けるといいと思います
[00:10:09] 他の視線ガードももちろんあるんですけれどもこういうやつですねこういうやつは東北がほとんどかなと思いますので
[00:10:17] その辺りを覚えると 東北を見分けることができます
[00:10:25] ということで東北は以上で続いては関東に行きます
[00:10:30] やったー なにがさんこんにちはやったありがとうございます
[00:10:37] まあ多分3時間ぐらいあれば全部できると思うんですけれども
[00:10:44] まあ頑張っていますまずは関東プレートいきます 関東のプレートは
[00:10:51] まあこういうやつですね灰色の まあなんて書いてあるかわかんないこともありますけど
[00:10:57] 手書きで何か文字が書いてあったりします
[00:11:02] で灰色じゃない場合もあります であとはここに東デンマークがありますこの
[00:11:10] こういう点3つで何か下にこう赤いやつがある これ赤いマークこれ関東電力マークですかね
[00:11:18] であとは そうですねこういう
[00:11:21] 文字の書き方さっきの灰色のプレートにはこういうふうに書かれてます大体 漢字が横に書いてあって数字が縦に並んでるみたいなこういうのが
[00:11:31] 関東電力のプレートになります そして8関東電力ポールトップは特徴が
[00:11:40] あるんですが
[00:11:44] これですね この
[00:11:46] こう伸びてて いるんですけどこう両端突き抜ける形で
[00:11:52] なんて言うんでしょうね棒が入ってる こういうまあ鳥居型って呼ばれたりするんですけども
[00:11:58] この鳥居型でも若干地域差があってこういう両方こう突き抜けてるっていうのは 関東電力の
[00:12:05] 東京電力の特徴ですね
[00:12:09] 若干違うんでそのあたりは大事になってきます イソプさんおはようございます
[00:12:16] そしてもう一個一番特徴的なポールトップ関東で一番よく見るポールトップがこれ ですね
[00:12:23] 先がこう尖ってるタイプで まあこれ尖ってるタイプってまぁ中国電池沖縄
[00:12:31] あるんですけれども まあなんでしょう遠くからちょっとわかりにくいんですが
[00:12:38] もう一個特徴としては外資ですねこういう黒くてちっちゃいやつ 九州だとこれより大きいなんか爆発したようなやつがついてるんですけれども
[00:12:48] 関東はこうちっちゃいやつがこうついてます で1個ついててこっち側に2個っていう非対称の電柱
[00:12:56] っていうのが関東電力東京電力の特徴ですね こういう外資が何でしょうないというかこういう場合には1対1なんですが
[00:13:07] 外資がある場合には何かこういう 1対2になっていることがよくありますかねおそらく
[00:13:15] いろいろタイプがあるので 全部とは言えませんがこういう1対2みたいなやつは
[00:13:22] 一番特徴的とのが黒い外資
[00:13:26] これはまあ東京電力ぐらいしかないですで東京電力の範囲としては 関東
[00:13:34] 全域この関東全域プラス山梨県と静岡県の こっちかこっちかはですね
[00:13:43] 藤川よりはこっち側のエリア藤市藤宮市など含めて御殿場とか伊豆とか伊豆半島 関東京電力
[00:13:52] あとは離島ですね このあたりの離島も東京電力です
[00:13:58] というのが東京電力の特徴です
[00:14:04] まあ今日は今日はというか電柱だけであんまり時間かけるとアレなので 軽くだけになりますが
[00:14:13] まあ基本的な見分け方はそんな感じですね で続いて中部電力言います中部電力まず範囲を紹介しとくとこの藤川よりこちら側
[00:14:22] 西側での静岡県と愛知県岐阜県長野県全域 プラス三重県の
[00:14:31] 大安西寄り北かな このあたりが
[00:14:36] 教会かな と思いますのでこの島とか
[00:14:42] 島とか四日市つ松坂 なばり井賀とかも
[00:14:48] 中部電力の範囲になります
[00:14:53] まああと一応言っとくと岐阜県若干北陸電力が入っているんですがまあそれは 割愛します
[00:15:01] で a 中部電力はいろんな特徴があるので面白いです自分は個人的には
[00:15:09] 好きですね 中部電力
[00:15:13] まずは電柱 からいきましょうかね
[00:15:20] いや ちょっと待てよ
[00:15:25] 中にこうあるの反射板反射板に 甘い
[00:15:31] はいまずは 中部電力の特徴としては
[00:15:38] まずプレートから行きましょうかプレート楕円形です こういう楕円形のプレートを使っているのは中部電力だけなので
[00:15:48] わかりやすいですね まあ遠くから見たらなんか長方形に見えたり逆に長方形のやつが楕円に見え
[00:15:56] たりするんですけれども
[00:16:00] まあこういうのが中部電力のまずプレートで 他の見分けとしてはポールトップなどなどが使えて
[00:16:09] そうですね
[00:16:13] 変圧器の先ほど言ってた変圧器の付け方が特徴的でこういう三角形のやつがあります 三角形のがあって棒があってそこに変圧器がついているこっちにもついて
[00:16:25] いることがありますけど こういう変圧器の付け方をしているのが中部電力で結構遠くからでもこの三角形
[00:16:32] 見えるので 大事ですね
[00:16:34] さらにこのポールトップが ちょっとわかりにくいんですけれども
[00:16:39] わかるやつはないかな こういう四つ足のやつが使われています
[00:16:49] ただなんかこういう 鳥居型のこういうやつもあるんですけれども
[00:16:54] 関東とちょっと違うタイプでこう片方からこう伸びてるタイプ が中部なんですけれども
[00:17:01] まあ注意点としてはこのこういうやつって実は他の地域にもあるんですけれども あるというか似たやつかな多分あるんですけど
[00:17:09] 中部電力の特徴は四つ足のやつですね 4本伸びてるっていうのが特徴的ですただ横から見るとこれ4本あるようにはちょっと見えにくいかも
[00:17:21] しれないんですけれども なのでまぁこれはちょっと要注意なんですが
[00:17:25] 中部は4本伸びてます で特に長野県では
[00:17:33] 楕円プラスNTTプレートが横ですね 新潟県と同じくNTTプレート横です
[00:17:41] まあ中部電力だと長野県にしか存在しないので これは長野県見分けるのでめちゃくちゃ大事な要素になっています
[00:17:52] で中部電力の視線ガードも特徴的です 中部電力の視線ガードはこういう長い黒長い黄色長い黒
[00:18:03] 長い黄色っていうこの配置 の視線ガードを使っていますこれは中部と沖縄にあります
[00:18:11] のでまあ沖縄要注意なんですけれども
[00:18:16] 他の部品とかで見分けるといいんですけどまぁ景色も違うんで そのあたりが大事なんですが
[00:18:23] 中部電力はこの長い黒と長い黄色のやつ これを使っています
[00:18:29] これは結構遠くからでも見えるので 大事ですね
[00:18:34] そして中部電力の反射板はいくつか種類があります
[00:18:41] まずこういうタイプですねこういうなんでしょう シマシマのやつでなんか3色か2色かわかりませんけど黄色と黒のシマシマのやつ
[00:18:50] があって ここに
[00:18:53] 切れた電線には触らず中部電力やって書いてるんですけれども まあこういうのが書いて
[00:19:01] あるのは中部電力だけですかね
[00:19:07] そうですね大事なのはここに何か書いてあるかっていうところですね こういうタイプの
[00:19:13] 反射板に似てるのが他のエリアにもあったりするんですが 書いてあるのはだいたい中部な気がします
[00:19:23] そして他のタイプとしては
[00:19:27] まあちょっとさっき今のと似てそうなんですけどここに何か丸い円が 描かれて丸い円3つかなおそらく
[00:19:35] こういうのも中部電力限定ですね まあチューブはいろんな反射板がありますので
[00:19:46] なんだろう なんだろうな
[00:19:49] まあこういうこういう柄こういう柄があったら中部地方かなって疑うといいかも しれないですね
[00:19:57] そうかな
[00:20:00] おそらく他のいろんなタイプがある気がするんですが ちょっとパッとは見つからないか
[00:20:08] こういうのとかもありますね まあなんかなんだろうこういうシマシマの斜めのシマシマで変なやつ
[00:20:16] っていうのがチューブ これはちょっと違いますけど
[00:20:21] かなって感じがしますね まあチューブ電力はいろいろ見分けるポイントがあるので
[00:20:32] 電柱とか反射板プレートがやっぱり一番大事ですけれどもそのあたり含めて覚えて いくといいかと思います
[00:20:45] でしょ
[00:20:48] はいということで
[00:20:54] えっと
[00:21:02] こっちは ずいで北陸行きます北陸電力は富山県石川県全域プラス福井県の
[00:21:10] 鶴賀から北ですね鶴賀を含めて福井市 鯖江市など市全市などを含めるこっちのエリア
[00:21:18] 鶴賀市までです で北陸のまずプレートから行きますと
[00:21:26] 北陸プレートは 横長プレートです
[00:21:31] 東北と同じく横長なんですけど書いている言葉が全然違ってて 数字があってカタカナがあってまた数字があるっていうのが
[00:21:40] 北陸電力の特徴ですで特にこの左上の数字の 1桁目2桁目が地域あてにめちゃくちゃ使えますのでそれはまた後々紹介していきますが
[00:21:55] この場合だとこのゼロっていう番号が 一番北陸電力で大事になっています
[00:22:02] これはさっきの北海道でも数字使える紹介したんですけれども北海道より圧倒的に 北陸の方が番号見やすいですね
[00:22:12] このこの大きさなので でまぁ
[00:22:16] 1桁目だけ見えていれば最悪使えるので北海道と違って北海道2桁目も見えないと いけないんですが
[00:22:24] 北陸だと1桁目だけでも見えていれば 使うことができるので
[00:22:29] この番号は必須ですね あとNTTプレートは全域で横です
[00:22:36] NTTプレート横の地域としては新潟県長野県と 富山県石川県福井県の5県のみとなります
[00:22:48] ので 横プレートがあるとどのあたりかっていうのを覚えておくといいと思います
[00:22:55] おつさんこんにちはですありがとうございます
[00:23:00] ただいま電柱解説しております電柱終わったら都道府県別に当てられる要素とか 県特有の要素とか紹介していきたいと思います
[00:23:09] で北陸の 電柱としてはさっき見たチューブ電力とめちゃくちゃ似てます遠くからだと区別がつかないです
[00:23:18] が こういう今度は2本足です
[00:23:23] チューブは4本足で端にこう4つ伸びてるんですが 北陸は2本足でこういうタイプなんですよね
[00:23:31] あとまあ三角形がないですね 北陸はチューブと違って変圧器をつけるところに三角形がないっていうのも見分ける
[00:23:38] ポイントになってくるんですが でこれに本足どういうことかというと横から見るとこういう感じになってて
[00:23:44] テントみたいな感じで こういうなんか三角形の部分こう埋められてます
[00:23:50] まあでもこういう遠くからだと正直見えないので難しいんですけど こっちから見ちゃうと完全チューブだなって思っちゃうで自分は
[00:24:01] ノームーブとかだとまあ見分けやすいですがNMPGだと間違えます
[00:24:09] なのでまあこういうテント型があったら北陸かなと思っています
[00:24:16] そしてもう一つめちゃくちゃ面白いものがあってこれですね 黒黄色黒の
[00:24:24] 線が電柱にぐるぐる巻きになっていますこれは北陸のみですね
[00:24:30] ご覧のようになんかぐるぐる巻き なんかこれ規則性とかなく適当に巻いてあるなっていう感じのやつが
[00:24:38] 北陸電力確定要素になります これ他のエリアではないですね
[00:24:46] というのが北陸電力です 北陸はプレート番号を後で紹介していきますが
[00:24:52] それが結構大事になってきます
[00:24:57] はいでは関西電力いきます関西電力は まあ
[00:25:03] こっち兵庫県京都府滋賀県大阪府奈良県和歌山県全域プラス三重県の このあたり三重県南部
[00:25:14] と福井県の三浜町からこっち側 小浜市大市町高浜町四市町ですね
[00:25:23] 淡路島も 関西電力です
[00:25:28] で関西プレートができます
[00:25:33] 関西プレートは 縦書きの漢字ですね
[00:25:41] 縦書き漢字の時点で関西に置きたくなりますね 関西だけかな
[00:25:49] と思うんですが 縦書きの漢字が関西電力です
[00:25:55] で
[00:25:58] あとあと 他のポイントとしては
[00:26:04] こういうやつですね 黒黄色めちゃくちゃ縦長です
[00:26:10] 1メートルぐらいありそうな やつですね
[00:26:15] 多分1メートルぐらいありますこれ 黄色黒の縦長で
[00:26:21] なんでしょうね なんでしょうねこういうやつです
[00:26:24] 他の地域だと もっと短いですね縦の長さ
[00:26:30] ですけど関西はこういう縦長のやつ使ってて 若干なんか色が薄いみたいな色あせてるみたいな感じのがよくあります
[00:26:37] ね 鮮やかな黄色っていう感じじゃなくて
[00:26:42] そうですねこういうやつですね であとまあ電柱にこういう張り紙禁止って書いてあるんですけど
[00:26:48] 赤いも青い文字で 張り紙禁止って書いてあるのが大阪でよく見ますかねこれ兵庫県ですけど
[00:26:56] まあ関西大阪兵庫とかですかね でよく見ると思います
[00:27:03] で関西の まあ一番の特徴は
[00:27:10] これはちょっと違うタイプですがこれですね この日ててくにゃって曲がってるやつ
[00:27:19] 途中でこういう曲がりが入っているのはも関西電力しかないですね おそらく
[00:27:25] このあたりも全部曲がってますけれども
[00:27:31] まあそういうのは曲がっている奴は関西電力で
[00:27:37] あとポールトップは
[00:27:41] こうまっすぐの道でくにゃって90度曲がっている奴 これは多分関西だけかなと思います
[00:27:50] これが関西ポールトップまず一つ目で
[00:27:56] あとは あこれもその完全版ですね完全関西電力ですねこれ
[00:28:03] くにゃって曲がってて ここにこういう120度に曲がっている奴がついているのは
[00:28:10] 特徴です で
[00:28:12] あともう1個あったんですけれども多分ここで紹介するべきだと
[00:28:20] こういうなんか 2段階にこう小さくなるような
[00:28:26] なんかん 東京電力と違っててこう2段階にこう
[00:28:32] くにゃくにゃってなってる感じ 東京電力はすすってこうまっすぐに
[00:28:38] 細くなっていったんですが関西電力は細くゆっくり細くなっていく こういう奴も特徴です
[00:28:47] であと変圧器の付け方ですね 変圧器の付け方は
[00:28:52] 東北と同じくこういう枠がついてて その下側から棒が伸びてます
[00:28:59] 90度曲がっているものの縦と横が同じくらいの長さなら関西 横が短いのは他で見たことある
[00:29:07] そうでございますありがとうございます有益な情報 皆さん補足あればぜひコメントください
[00:29:14] こういう枠がついてて下から伸びているのが 関西電力ですね
[00:29:20] 東北は上からでした でそこで見分けましょう
[00:29:29] はい続いては中国 行きましょうか
[00:29:37] 中国電力の プレートは
[00:29:42] 分かりにくいんですけれども 分かりやすいやつですねこれをめちゃくちゃ
[00:29:47] まずこれはもうパッと見で中国地方っていうのがめちゃくちゃ分かりやすいやつ ですね
[00:29:53] 8まずこっちのプレートからいきますこっちは まあ長方形縦2枚ですねこれはまあ
[00:30:00] よくあるやつなんですが隙間が 狭いですねここだともう隙間が全くないんですけども
[00:30:06] まあこういう 長方形縦2枚で隙間が狭いっていうのは中国もしか四国でよく見るやつですね
[00:30:14] 他のエリアさっき見たエリア関西関東だと オープレート縦2枚なんですが間に結構隙間があってもう1枚配置されているという
[00:30:23] 感じなんですが 隙間が全くないっていうのは
[00:30:28] まあ中国四国にしかないです さらにこの中国電力だとこういう大きいプレートがいますさらに
[00:30:35] さらに大きいプレートがある こういうこれはもう中国地方でしかないかなと思います
[00:30:42] さらにこの黄色い何かがついてるんですがこれ黄色い矢印がついてるんですがこれも 中国地方限定ですね
[00:30:49] 限定かと思いますほぼほぼ
[00:30:54] なので隙間が狭くて2枚ついてるで大きいプレートがある で黄色い矢印これはもう中国地方
[00:31:06] 完全セットって感じですね パッと見で中国地方っていうセットをしています
[00:31:13] でああ今のもう1個あって中国地方の特徴が
[00:31:19] この反射板なんですが なんかなんだ
[00:31:23] 上に何か文字が書いてある
[00:31:28] こういうやつですねこういうやつが中国地方限定かなと思います なんか上に文字なんだろう何でしたかね電柱に登らないとか
[00:31:39] 電線が切れてたらみたいなこと多分書いてると思うんですけど こういうのが書いてあるのは中国地方ですね
[00:31:46] この色合いっていうのを覚えて欲しいかなと思います こんにちは
[00:31:53] しおんさんこんにちは で
[00:31:58] 中国地方の変圧器のつけ方
[00:32:03] 中国地方の変圧器のつけ方としては つけ方というか変圧器なんですが
[00:32:10] 赤い数字が書いてます この側面と底にも書いてあることがあるかと思いますけど
[00:32:21] これは中国地方なんですけれども まあ中四国の電柱の見分けは正直最初だとわかんない
[00:32:29] わかりにくいと思いますこういう大きいプレートとかない限りは 矢印とかないとちょっと見分けにくいんですけれども
[00:32:38] その時に使える見分け方としてこの変圧器の下の棒ですね 棒のつけ方がこここういう三角形みたいな部品があります
[00:32:48] これ中国地方でしかなくて四国はこの ここから上がないですね
[00:32:53] 下に三角形がある感じですけど中国はこういう こういうやつ
[00:33:01] これこの形をね覚えてほしいんですけど四国と 見比べてみるとわかるんですがここのつけ方が
[00:33:09] こういう感じ ですで中国地方はもうこういう関東と
[00:33:16] 同じ意味しか見えないですけれども自分は こういうフォールドップだったり
[00:33:24] なんかめちゃくちゃ めちゃくちゃ尖ったやつだったり
[00:33:31] いろいろあります 正直めちゃくちゃ種類あります
[00:33:36] まあ関東との違いとしてはなんか 外紙がまあそもそも違いますから
[00:33:42] 外紙が黒いやつがついてないっていうのがあれですけど あとなんかこういう謎のやつがあるみたいのも中国地方っぽいかな
[00:33:53] 透明だと正直関東にしか見えませんけど まあその以外の部品とかで見分けるといいかなとも思いますね
[00:34:06] そうですね日本言い出したらキリがないくらい なんですけれども
[00:34:12] まあ電柱だけでこんだけ時間がかかっちゃってるんですが 標識止まれなどなどをやっていったらめちゃくちゃ時間がかかるかと思いますが
[00:34:23] そして中国地方視線ガード特徴があります こういうなんか下にこういうまとまりがあってそっから視線ガードが伸びてる
[00:34:34] っていうのが中国地方です こういうやつですね
[00:34:39] こういうこのこの部分この部分があるのは多分中国地方だけかなと思います でえっとさらにですねこれめちゃくちゃ使えるけど意外と知らない人が多い奴
[00:34:51] なんですが 電柱にこういう
[00:34:55] 謎のステッカー黄色とか白のステッカーがありますこれ中央地方限定かなと思います おそらく
[00:35:04] まあこれが単に1個だけついていることもありますしこういう3つ並んでついている こともあるんです
[00:35:10] 黄色白のステッカーみたいなやつがついてあるのは 中国地方限定なんじゃないかと思っておりますがどうなんでしょう
[00:35:21] そうですねこういう謎の反射板とかもよくあります 変な反射板があったら
[00:35:27] 中国地方っぽいなっていう感じもしますね
[00:35:32] まあ中国地方は本当いろんなバリエーションがあるので なんか慣れていかないとちょっと見分けにくいかもしれないんですが
[00:35:41] そしてですね広島県でよく見る反射板も紹介しますそれがこちらですね もうちょっと反射板がめちゃくちゃついてます何枚ついてる
[00:35:50] のって感じなんですけど まあ縦に3連の反射板
[00:35:54] 反射板がこうやっていっぱい並んでるの広島県でしか見たことないぐらいですね まあ2枚のこともあります2枚ついてるだけでも広島県に置きたくなりますね
[00:36:07] 正直
[00:36:09] まあ3枚あるとこととかそれ以上のこととかほとんどないんですがあっても2枚まで っていうのが多いんですがここはなんと3枚ついてます
[00:36:18] 基本的に全国1枚しかついてないんですが広島県ではなぜか2枚以上ついてあることが よくあります
[00:36:26] なのでそのあたりで 見分けるといいんじゃないかなと思います広島県
[00:36:33] というのが中国電力なんですが中国電力はまあ中国地方5件 島含めてプラス
[00:36:41] 瀬戸内県の島ですね愛媛県のこのあたりの島 広島県お金持ちとか
[00:36:47] お金持ち なぜか使えるんでそんなに使うんでしょうかねなのためかわかりませんけど
[00:36:54] 今治市のこのあたりの島とか このあたりの香川県の島とか小土島も中国電力です
[00:37:02] なので まあ明らかに香川なのに中国電力ってだけで小土島に
[00:37:08] 行くみたいなことも ありますね
[00:37:12] というのが中国電力の特徴ですがまあいろいろあってので難しいです 四国もめちゃくちゃ中国地方に似てます
[00:37:21] 言った通り
[00:37:24] ご覧のように プレート縦2枚で隙間が狭いですね他の地域に比べると
[00:37:30] 他の地域はもっと間隔開けてつけてますので これだけ狭いのは中四国限定なんですがこのプレートですね下のプレートこれ四国
[00:37:40] 電力の4点マークですね 4つこう
[00:37:44] 並んでいるこの配置は 四国電力のマークです
[00:37:50] なのでこれ見たらもう中四国迷わず四国に行ってください さらに特徴的なのがこの反射板ですね
[00:37:59] 反射板が一般的にはこう縦長 長方形みたいな縦長の長方形が多いんですが四国は横長ですね
[00:38:07] 横に長くて縦に短い タイプのやつがめちゃくちゃよくあります
[00:38:14] ご覧のようにこれですねこういうやつ
[00:38:18] こういうやつですね横長のやつ縦短い っていうのが四国電力の特徴です
[00:38:27] でさっき言った中国地方との変圧器の付け方なんですけども 四国のまず変圧器には下にシールで数字が貼ってあります
[00:38:38] これがもう四国電力のと中国見分け方ですね 中国は赤い数字が側面とかそこにあるんですが
[00:38:47] 四国はシールがそこにあります っていうのが特徴であとこの変圧器の棒の付け方なんですが
[00:38:55] こんな感じでこの形ですね下にだけ伸びている 中国は上にあった上にも下にもあったんですが四国は下にしか伸びていません
[00:39:06] この形ですねこれが
[00:39:11] こうですね こうあったやつ上にも伸びてやつが四国では
[00:39:18] 下にしかありません っていうのが
[00:39:22] 中四国の見分けで使えるポイントになります
[00:39:29] 四国は
[00:39:33] 変な視点ガードがよくありますね なんですがまあそこまで
[00:39:39] めちゃくちゃあるかというとそこまではないんですが なんか何この視点ガードって思ったらだいたい四国だったりします
[00:39:48] 四国電力は4件の まあこのあたりでリトー覗くですね
[00:39:56] で すはい
[00:40:00] で、最後…最後じゃないな。九州行きます。
[00:40:06] 九州。
[00:40:09] 九州はいろいろ面白い要素があります。 まずは
[00:40:15] プレートがないですが、これ行きましょうか。 佐賀県限定プレートが
[00:40:22] あるようでございます。
[00:40:26] まず九州電力のプレートとしては縦2枚で隙間がめっちゃあります。 まあこれは
[00:40:33] 中四国との見分けなんですけれども。 特徴的なのはこれですね。数字が書いてあってカタカナ数字数字みたいなやつが
[00:40:44] 九州電力の特徴なんですが、特に佐賀県ではここに数字が書いてます。2桁の数字。
[00:40:54] この部分って
[00:40:56] 実は一般的じゃなくて
[00:41:01] これですね。一般的なのは こういうタイプ。数字カタカナ数字数字なんですが、ここは空白もしくはなんか
[00:41:09] 漢字が書いてます。 これは一般的な九州電力のプレートなんですが、佐賀県のこの平野部
[00:41:17] では なぜかここに数字が書いてます。
[00:41:23] これが佐賀県限定プレートになります。
[00:41:28] 九州の見分けで使えそうなものは
[00:41:34] 次どれにしようか
[00:41:38] これかな。 変圧器いきましょうまずは。
[00:41:42] 変圧器これめちゃくちゃ大きいですね。さっきまで見てもらった変圧器とは
[00:41:47] 2倍ぐらいの大きさがあります。この超巨大変圧器。 九州でよく見ますね。
[00:41:54] これ一般的な大きさのやつですが。 2倍の大きさがある変圧器は九州でよく見ます。
[00:42:02] 九州の変圧器の付け方ですね。 九州の変圧器の付け方は
[00:42:08] 電池を挟んでこの両側 についてます。
[00:42:15] というのは中四国と見分けてもらう。 他のエリアと見分けると分かるんですが
[00:42:21] 中四国とかだとこういう感じですね。 電柱の反対側ではなくこういうこの角度。
[00:42:27] 道路側ですね。 道路側についているんですけれども
[00:42:34] 九州は道路と平行というのか 電線と平行っていう方が正しいか。
[00:42:41] 180度の向きに2個ついてます。
